AERO 2 Sp. z o.o.;LTE1800/10/0001/1/10;P;2020-07-31;"19E18'38""";"51N49'25""";Aleksandrów Łódzki;Piotrkowska 10/12;11304;1020043
AERO 2 Sp. z o.o.;LTE1800/10/0002/1/10;P;2020-07-31;"19E26'00""";"51N47'12""";Łódź;Lutomierska 113;11310;1061011
AERO 2 Sp. z o.o.;LTE1800/10/0003/1/10;P;2020-07-31;"19E23'35""";"51N47'54""";Łódź;Traktorowa 128;11303;1061011
AERO 2 Sp. z o.o.;LTE1800/10/0004/1/10;P;2020-08-31;"21E00'42""";"52N11'56""";Warszawa;Wiktorska 63;10053;1465011
AERO 2 Sp. z o.o.;LTE1800/10/0005/1/10;P;2020-08-31;"21E03'10""";"52N15'15""";Warszawa;Tysiąclecia 151;10057;1465011
AERO 2 Sp. z o.o.;LTE1800/10/0006/1/10;P;2020-08-31;"21E00'41""";"52N13'38""";Warszawa;Żurawia 47/49;10093;1465011
AERO 2 Sp. z o.o.;LTE1800/10/0007/1/10;P;2020-08-31;"19E25'07""";"51N45'06""";Łódź;Księdza Biskupa Bandurskiego 55;11307;1061011
AERO 2 Sp. z o.o.;LTE1800/10/0008/1/10;P;2020-08-31;"20E45'05""";"52N25'31""";Nowy Dwór Mazowiecki;Przemysłowa 1;10036;1414011
AERO 2 Sp. z o.o.;LTE1800/10/0009/1/10;P;2020-08-31;"21E26'34""";"52N36'33""";Wyszków;Przemysłowa 4;11008;1435053
AERO 2 Sp. z o.o.;LTE1800/10/0010/1/10;P;2020-08-31;"20E21'40""";"52N36'57""";Płońsk;Przemysłowa 2;11010;1420011
AERO 2 Sp. z o.o.;LTE1800/10/0011/1/10;P;2020-08-31;"19E30'27""";"51N47'40""";Łódź;Śnieżna 2;11316;1061011
AERO 2 Sp. z o.o.;LTE1800/10/0012/1/10;P;2020-08-31;"19E26'12""";"51N52'01""";Zgierz;Sienkiewicza 20a;11343;1020031
AERO 2 Sp. z o.o.;LTE1800/10/0013/1/10;P;2020-08-31;"21E08'15""";"52N14'23""";Warszawa;Szpacza 2;10034;1465011
AERO 2 Sp. z o.o.;LTE1800/10/0014/1/10;P;2020-08-31;"20E53'57""";"52N08'19""";Janki;Wspólna 19a;10094;1421062
AERO 2 Sp. z o.o.;LTE1800/10/0015/1/10;P;2020-08-31;"19E27'53""";"51N43'43""";Łódź;Paderewskiego 9;11311;1061011
AERO 2 Sp. z o.o.;LTE1800/10/0016/1/10;P;2020-08-31;"19E28'58""";"51N45'53""";Łódź;Nawrot 114;11317;1061011
AERO 2 Sp. z o.o.;LTE1800/10/0017/1/10;P;2020-08-31;"20E47'52""";"52N09'57""";Pruszków;Ołówkowa 1 dz. nr 447/9;10016;1421021
